scenario,purchase_czk,resale_czk,years,annual_km,entry_costs_czk,selling_costs_czk,target_czk_per_km,expected_loss_czk,expected_monthly_czk,expected_per_km_czk,expected_target_sale_czk,data_type
base,550000,340000,5,15000,0,0,3,210000,3500.0,2.8,325000,synthetic_regression_not_market_benchmark
entry-sale-costs,550000,340000,5,15000,10000,5000,3,225000,3750.0,3.0,340000,synthetic_regression_not_market_benchmark
used-car,320000,220000,4,10000,0,0,2.5,100000,2083.3333,2.5,220000.0,synthetic_regression_not_market_benchmark
high-mileage,680000,330000,5,30000,15000,8000,2.5,373000,6216.6667,2.486667,328000.0,synthetic_regression_not_market_benchmark
short-hold,450000,370000,1.5,12000,0,0,4,80000,4444.4444,4.444444,378000.0,synthetic_regression_not_market_benchmark
zero-resale,180000,0,6,10000,0,0,2,180000,2500.0,3.0,60000,synthetic_regression_not_market_benchmark
synthetic-01,240000,170000,1.5,8000,0,0,1.5,70000,3888.8889,5.833333,222000.0,synthetic_regression_not_market_benchmark
synthetic-02,259000,172000,2.25,11500,2500,1800,1.95,91300,3381.4815,3.528502,212843.75,synthetic_regression_not_market_benchmark
synthetic-03,278000,174000,3.0,15000,5000,3600,2.4,112600,3127.7778,2.502222,178600.0,synthetic_regression_not_market_benchmark
synthetic-04,297000,176000,3.75,18500,7500,0,2.85,128500,2855.5556,1.852252,106781.25,synthetic_regression_not_market_benchmark
synthetic-05,316000,178000,4.5,22000,0,1800,3.3,139800,2588.8889,1.412121,0,synthetic_regression_not_market_benchmark
synthetic-06,335000,180000,5.25,8000,2500,3600,3.75,161100,2557.1429,3.835714,183600.0,synthetic_regression_not_market_benchmark
synthetic-07,354000,182000,1.5,11500,5000,0,1.5,177000,9833.3333,10.26087,333125.0,synthetic_regression_not_market_benchmark
synthetic-08,373000,303000,2.25,15000,7500,1800,1.95,79300,2937.037,2.34963,316487.5,synthetic_regression_not_market_benchmark
synthetic-09,392000,305000,3.0,18500,0,3600,2.4,90600,2516.6667,1.632432,262400.0,synthetic_regression_not_market_benchmark
synthetic-10,411000,307000,3.75,22000,2500,0,2.85,106500,2366.6667,1.290909,178375.0,synthetic_regression_not_market_benchmark
synthetic-11,430000,309000,4.5,8000,5000,1800,3.3,127800,2366.6667,3.55,318000.0,synthetic_regression_not_market_benchmark
synthetic-12,449000,311000,5.25,11500,7500,3600,3.75,149100,2366.6667,2.469565,233693.75,synthetic_regression_not_market_benchmark
synthetic-13,468000,313000,1.5,15000,0,0,1.5,155000,8611.1111,6.888889,434250.0,synthetic_regression_not_market_benchmark
synthetic-14,487000,315000,2.25,18500,2500,1800,1.95,176300,6529.6296,4.235435,410131.25,synthetic_regression_not_market_benchmark
synthetic-15,506000,436000,3.0,22000,5000,3600,2.4,78600,2183.3333,1.190909,356200.0,synthetic_regression_not_market_benchmark
synthetic-16,525000,438000,3.75,8000,7500,0,2.85,94500,2100.0,3.15,447000.0,synthetic_regression_not_market_benchmark
synthetic-17,544000,440000,4.5,11500,0,1800,3.3,105800,1959.2593,2.044444,375025.0,synthetic_regression_not_market_benchmark
synthetic-18,563000,442000,5.25,15000,2500,3600,3.75,127100,2017.4603,1.613968,273787.5,synthetic_regression_not_market_benchmark
synthetic-19,582000,444000,1.5,18500,5000,0,1.5,143000,7944.4444,5.153153,545375.0,synthetic_regression_not_market_benchmark
