scenario,km,consumption_per_100km,energy_price,trip_extras_czk,people,operating_czk_per_km,depreciation_czk_per_km,expected_energy_czk,expected_total_czk,expected_per_km_czk,expected_per_person_czk,data_type
petrol-basic,50,6.5,38.5,0,1,0,0,125.125,125.125,2.5025,125.125,synthetic_regression_not_market_benchmark
diesel-trip,180,5.7,42.1,180,1,0,0,431.946,611.946,3.3997,611.946,synthetic_regression_not_market_benchmark
ev-basic,200,18.5,6.5,0,2,0,0,240.5,240.5,1.2025,120.25,synthetic_regression_not_market_benchmark
short-parking,10,7.2,39.9,250,2,0,0,28.728,278.728,27.8728,139.364,synthetic_regression_not_market_benchmark
full-cost,100,6.5,38.5,0,1,1.6,3.2,250.25,730.25,7.3025,730.25,synthetic_regression_not_market_benchmark
full-extras,250,5.8,40,350,3,1.4,2.5,580.0,1905.0,7.62,635.0,synthetic_regression_not_market_benchmark
synthetic-01,20,4.5,5.2,0,1,0.0,0.0,4.68,4.68,0.234,4.68,synthetic_regression_not_market_benchmark
synthetic-02,37,5.3,16.3,70,2,0.7,0.9,31.9643,161.1643,4.3558,80.5822,synthetic_regression_not_market_benchmark
synthetic-03,54,6.1,27.4,140,3,1.4,1.8,90.2556,403.0556,7.464,134.3519,synthetic_regression_not_market_benchmark
synthetic-04,71,6.9,38.5,210,4,0.0,2.7,188.6115,590.3115,8.3142,147.5779,synthetic_regression_not_market_benchmark
synthetic-05,88,7.7,5.2,280,1,0.7,0.0,35.2352,376.8352,4.2822,376.8352,synthetic_regression_not_market_benchmark
synthetic-06,105,8.5,16.3,0,2,1.4,0.9,145.4775,386.9775,3.6855,193.4888,synthetic_regression_not_market_benchmark
synthetic-07,122,4.5,27.4,70,3,0.0,1.8,150.426,440.026,3.6068,146.6753,synthetic_regression_not_market_benchmark
synthetic-08,139,5.3,38.5,140,4,0.7,2.7,283.6295,896.2295,6.4477,224.0574,synthetic_regression_not_market_benchmark
synthetic-09,156,6.1,5.2,210,1,1.4,0.0,49.4832,477.8832,3.0634,477.8832,synthetic_regression_not_market_benchmark
synthetic-10,173,6.9,16.3,280,2,0.0,0.9,194.5731,630.2731,3.6432,315.1365,synthetic_regression_not_market_benchmark
synthetic-11,190,7.7,27.4,0,3,0.7,1.8,400.862,875.862,4.6098,291.954,synthetic_regression_not_market_benchmark
synthetic-12,207,8.5,38.5,70,4,1.4,2.7,677.4075,1596.1075,7.7107,399.0269,synthetic_regression_not_market_benchmark
synthetic-13,224,4.5,5.2,140,1,0.0,0.0,52.416,192.416,0.859,192.416,synthetic_regression_not_market_benchmark
synthetic-14,241,5.3,16.3,210,2,0.7,0.9,208.1999,803.7999,3.3353,401.8999,synthetic_regression_not_market_benchmark
synthetic-15,258,6.1,27.4,280,3,1.4,1.8,431.2212,1536.8212,5.9567,512.2737,synthetic_regression_not_market_benchmark
synthetic-16,275,6.9,38.5,0,4,0.0,2.7,730.5375,1473.0375,5.3565,368.2594,synthetic_regression_not_market_benchmark
synthetic-17,292,7.7,5.2,70,1,0.7,0.0,116.9168,391.3168,1.3401,391.3168,synthetic_regression_not_market_benchmark
synthetic-18,309,8.5,16.3,140,2,1.4,0.9,428.1195,1278.8195,4.1386,639.4098,synthetic_regression_not_market_benchmark
synthetic-19,326,4.5,27.4,210,3,0.0,1.8,401.958,1198.758,3.6772,399.586,synthetic_regression_not_market_benchmark
