source;period;segment;metric;value;unit;interpretation;source_url
ČNB;2026;vlastní bydlení;závazná horní hranice LTV;80;%;obecná hranice LTV;https://www.cnb.cz/cs/financni-stabilita/makroobezretnostni-politika/stanoveni-horni-hranice-uverovych-ukazatelu/
ČNB;2026;vlastní bydlení, žadatel mladší 36 let;závazná horní hranice LTV;90;%;při pořízení obytné nemovitosti k vlastnímu bydlení;https://www.cnb.cz/cs/financni-stabilita/makroobezretnostni-politika/stanoveni-horni-hranice-uverovych-ukazatelu/
ČNB;od 1.4.2026;investiční hypotéky;doporučená horní hranice LTV;70;%;doporučení pro investiční hypotéky;https://www.cnb.cz/cs/financni-stabilita/makroobezretnostni-politika/stanoveni-horni-hranice-uverovych-ukazatelu/
ČNB;2026;úvěry na bydlení;obezřetná reference DSTI;40;%;"ČNB doporučuje velmi obezřetně posuzovat vyšší DSTI; stejná úroveň je použita v indikátoru obezřetné dosažitelnosti";https://www.cnb.cz/cs/financni-stabilita/makroobezretnostni-politika/stanoveni-horni-hranice-uverovych-ukazatelu/dsti/
ČNB;1Q 2026;úvěry kolem mediánu indikátoru obezřetné dosažitelnosti;průměrný čistý měsíční příjem;72700;Kč/měs.;ve skupině kolem mediánu indikátoru;https://www.cnb.cz/export/sites/cnb/cs/financni-stabilita/.galleries/zpravy_fs/fs_2026_jaro/zfs_jaro_2026.pdf
ČNB;1Q 2026;úvěry kolem mediánu indikátoru obezřetné dosažitelnosti;průměrné LTV;66.3;%;při průměrném úvěru 4 mil. Kč;https://www.cnb.cz/export/sites/cnb/cs/financni-stabilita/.galleries/zpravy_fs/fs_2026_jaro/zfs_jaro_2026.pdf
ČNB;1Q 2026;úvěry kolem mediánu indikátoru obezřetné dosažitelnosti;průměrná výše úvěru;4000000;Kč;ve skupině kolem mediánu indikátoru;https://www.cnb.cz/export/sites/cnb/cs/financni-stabilita/.galleries/zpravy_fs/fs_2026_jaro/zfs_jaro_2026.pdf
ČNB;1Q 2026;rizikovější část, 90. percentil;průměrné DSTI;53.7;%;rizikovější část nově sjednaných hypoték;https://www.cnb.cz/export/sites/cnb/cs/financni-stabilita/.galleries/zpravy_fs/fs_2026_jaro/zfs_jaro_2026.pdf
ČNB;1Q 2026;rizikovější část, 90. percentil;průměrné DTI;7.5;násobek;rizikovější část nově sjednaných hypoték;https://www.cnb.cz/export/sites/cnb/cs/financni-stabilita/.galleries/zpravy_fs/fs_2026_jaro/zfs_jaro_2026.pdf
ČNB;1Q 2026;rizikovější část, 90. percentil;průměrné LTV;75.3;%;rizikovější část nově sjednaných hypoték;https://www.cnb.cz/export/sites/cnb/cs/financni-stabilita/.galleries/zpravy_fs/fs_2026_jaro/zfs_jaro_2026.pdf
Eurostat;2024;Česko;housing cost overburden rate;9.2;%;podíl osob v domácnostech s náklady na bydlení alespoň 40 % disponibilního příjmu;https://ec.europa.eu/eurostat/statistics-explained/SEPDF/cache/67027.pdf
