scenario_id,crossing_date,registration_deadline_10_workdays,calendar_days_to_deadline,payer_after_lower_limit_if_no_early_choice,payer_after_lower_limit_if_timely_early_choice,payer_after_upper_limit,model_note
2026-01-01,2026-01-01,2026-01-15,14,2027-01-01,2026-01-02,2026-01-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-01-15,2026-01-15,2026-01-29,14,2027-01-01,2026-01-16,2026-01-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-02-01,2026-02-01,2026-02-13,12,2027-01-01,2026-02-02,2026-02-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-02-15,2026-02-15,2026-02-27,12,2027-01-01,2026-02-16,2026-02-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-03-01,2026-03-01,2026-03-13,12,2027-01-01,2026-03-02,2026-03-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-03-15,2026-03-15,2026-03-27,12,2027-01-01,2026-03-16,2026-03-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-04-01,2026-04-01,2026-04-17,16,2027-01-01,2026-04-02,2026-04-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-04-15,2026-04-15,2026-04-29,14,2027-01-01,2026-04-16,2026-04-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-05-01,2026-05-01,2026-05-18,17,2027-01-01,2026-05-02,2026-05-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-05-15,2026-05-15,2026-05-29,14,2027-01-01,2026-05-16,2026-05-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-06-01,2026-06-01,2026-06-15,14,2027-01-01,2026-06-02,2026-06-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-06-15,2026-06-15,2026-06-29,14,2027-01-01,2026-06-16,2026-06-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-07-01,2026-07-01,2026-07-16,15,2027-01-01,2026-07-02,2026-07-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-07-15,2026-07-15,2026-07-29,14,2027-01-01,2026-07-16,2026-07-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-08-01,2026-08-01,2026-08-14,13,2027-01-01,2026-08-02,2026-08-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-08-15,2026-08-15,2026-08-28,13,2027-01-01,2026-08-16,2026-08-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-09-01,2026-09-01,2026-09-15,14,2027-01-01,2026-09-02,2026-09-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-09-15,2026-09-15,2026-09-30,15,2027-01-01,2026-09-16,2026-09-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-10-01,2026-10-01,2026-10-15,14,2027-01-01,2026-10-02,2026-10-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-10-15,2026-10-15,2026-10-30,15,2027-01-01,2026-10-16,2026-10-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-11-01,2026-11-01,2026-11-13,12,2027-01-01,2026-11-02,2026-11-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-11-15,2026-11-15,2026-11-30,15,2027-01-01,2026-11-16,2026-11-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-12-01,2026-12-01,2026-12-15,14,2027-01-01,2026-12-02,2026-12-02,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
2026-12-15,2026-12-15,2026-12-31,16,2027-01-01,2026-12-16,2026-12-16,Model 10 pracovních dnů podle českého kalendáře; hranice se považuje za překročenou v uvedený den.
