vyrobce;produkt;pouziti;tloustka_mm;lambda_w_mk;delka_mm;sirka_mm;ks_baleni;m2_baleni;m2_paleta;baleni_paleta;prodejni_jednotka;r_vyrobce_m2k_w;zdroj;overeno;poznamka
ROCKWOOL;FRONTROCK SUPER;ETICS fasáda;100;0,036;1000;600;3;1,8;28,8;16;Paleta;;https://www.rockwool.com/cz/frontrock-super/;2026-08-18;Dvouvrstvá fasádní deska z kamenné vlny.
ROCKWOOL;FRONTROCK SUPER;ETICS fasáda;120;0,036;1000;600;3;1,8;21,6;12;Paleta;;https://www.rockwool.com/cz/frontrock-super/;2026-08-18;Dvouvrstvá fasádní deska z kamenné vlny.
ROCKWOOL;FRONTROCK SUPER;ETICS fasáda;140;0,036;1000;600;2;1,2;19,2;16;Paleta;;https://www.rockwool.com/cz/frontrock-super/;2026-08-18;Dvouvrstvá fasádní deska z kamenné vlny.
ROCKWOOL;FRONTROCK SUPER;ETICS fasáda;150;0,036;1000;600;2;1,2;19,2;16;Paleta;;https://www.rockwool.com/cz/frontrock-super/;2026-08-18;Dvouvrstvá fasádní deska z kamenné vlny.
ROCKWOOL;FRONTROCK SUPER;ETICS fasáda;160;0,036;1000;600;2;1,2;14,4;12;Paleta;;https://www.rockwool.com/cz/frontrock-super/;2026-08-18;Dvouvrstvá fasádní deska z kamenné vlny.
ROCKWOOL;FRONTROCK SUPER;ETICS fasáda;180;0,036;1000;600;2;1,2;14,4;12;Paleta;;https://www.rockwool.com/cz/frontrock-super/;2026-08-18;Dvouvrstvá fasádní deska z kamenné vlny.
ROCKWOOL;FRONTROCK SUPER;ETICS fasáda;200;0,036;1000;600;2;1,2;14,4;12;Paleta;;https://www.rockwool.com/cz/frontrock-super/;2026-08-18;Dvouvrstvá fasádní deska z kamenné vlny.
Austrotherm;Resolution Fasáda;ETICS fasáda;25;0,022;1000;500;16;8,0;;;;1,10;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;30;0,022;1000;500;13;6,5;;;;1,35;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;40;0,022;1000;500;10;5,0;;;;1,80;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;50;0,022;1000;500;8;4,0;;;;2,25;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;60;0,022;1000;500;6;3,0;;;;2,70;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;70;0,022;1000;500;5;2,5;;;;3,15;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;80;0,022;1000;500;5;2,5;;;;3,60;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;90;0,022;1000;500;4;2,0;;;;4,05;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;100;0,022;1000;500;4;2,0;;;;4,50;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;120;0,022;1000;500;3;1,5;;;;5,45;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;140;0,022;1000;500;2;1,0;;;;6,35;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;160;0,022;1000;500;2;1,0;;;;7,25;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;180;0,022;1000;500;2;1,0;;;;8,15;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;Resolution Fasáda;ETICS fasáda;200;0,022;1000;500;2;1,0;;;;9,05;https://www.austrotherm.cz/produkty/austrotherm-resolution/austrotherm-resolution-fasada;2026-08-18;Výrobce publikuje i deklarovaný tepelný odpor varianty.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;30;0,033;1250;600;14;10,5;;12;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;40;0,032;1250;600;10;7,5;;12;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;50;0,032;1250;600;8;6,0;;12;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;60;0,033;1250;600;7;5,25;;12;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;70;0,033;1250;600;6;4,5;;12;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;80;0,035;1250;600;5;3,75;;12;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;100;0,035;1250;600;4;3,0;;12;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;120;0,035;1250;600;3;2,25;;14;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;140;0,036;1250;600;3;2,25;;12;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
Austrotherm;XPS TOP 30 SF;základy, podlahy, sokl, ploché střechy;160;0,036;1250;600;2;1,5;;16;;;https://www.austrotherm.cz/produkty/austrotherm-xps/austrotherm-xps-top-30-sf;2026-08-18;Hladký povrch, polodrážka.
