record_type,source_name,label,area_min_m2,area_max_m2,price_low_czk,price_high_czk,price_from_czk,geography,scope_note,reference_period,source_url
market_band,Síť práce,Malá koupelna v paneláku,3,4,80000,150000,,ČR,práce + materiál,2026,https://sitprace.cz/pruvodce/kolik-stoji-rekonstrukce-koupelny
market_band,Síť práce,Standardní koupelna,5,7,120000,250000,,ČR,práce + materiál,2026,https://sitprace.cz/pruvodce/kolik-stoji-rekonstrukce-koupelny
market_band,Síť práce,Velká koupelna v RD,8,12,200000,400000,,ČR,práce + materiál,2026,https://sitprace.cz/pruvodce/kolik-stoji-rekonstrukce-koupelny
market_band,Síť práce,Luxusní koupelna,,,350000,700000,,ČR,prémiové materiály; horní hranice 700k+,2026,https://sitprace.cz/pruvodce/kolik-stoji-rekonstrukce-koupelny
vendor_model,SIKO,Malá koupelna,2.08,2.08,,,130000,ČR,1 300 × 1 600 mm; obklad+dlažba do 17 m²; bez bouracích prací; další rozsah dle stránky,2026,https://www.siko.cz/koupelna-na-klic
vendor_model,SIKO,Standardní koupelna,3.04,3.04,,,180000,ČR,1 600 × 1 900 mm; obklad+dlažba do 21 m²; bourací práce a další rozsah dle stránky,2026,https://www.siko.cz/koupelna-na-klic
vendor_model,SIKO,Nadstandardní koupelna,5.7,5.7,,,280000,ČR,1 900 × 3 000 mm; obklad+dlažba do 30 m²; rozšířený rozsah dle stránky,2026,https://www.siko.cz/koupelna-na-klic
regional_jobs,StavDAM,Malá koupelna do 5 m²,0,5,80000,150000,,Praha + Středočeský kraj,orientace z realizací firmy 2024–2026,2024–2026,https://stavdam.cz/blog/rekonstrukce-koupelny-cena
regional_jobs,StavDAM,Střední koupelna 5–10 m²,5,10,150000,280000,,Praha + Středočeský kraj,orientace z realizací firmy 2024–2026,2024–2026,https://stavdam.cz/blog/rekonstrukce-koupelny-cena
regional_jobs,StavDAM,Velká koupelna nad 10 m²,10,,280000,,,Praha + Středočeský kraj,280 000 Kč a výše,2024–2026,https://stavdam.cz/blog/rekonstrukce-koupelny-cena
per_m2,Daibau,Kompletní rekonstrukce koupelny,,,12000,25000,,ČR,veřejné cenové rozpětí v Kč/m²; stránka upozorňuje na nelinearitu menších koupelen,2026,https://www.daibau.cz/ceny/rekonsktrukce_koupelny
per_m2,Daibau,Uváděná orientační hodnota,,,,18500,,ČR,cca 18 500 Kč/m² pro kompletní přestavbu,2026,https://www.daibau.cz/ceny/rekonsktrukce_koupelny
scenario,PlanStavby,Koupelna 6 m² – základní,6,6,85000,175000,,ČR,veřejné scénářové rozpětí Q2 2026,Q2 2026,https://www.planstavby.cz/ceniky-remesel
scenario,PlanStavby,Koupelna 6 m² – střední,6,6,130000,270000,,ČR,veřejné scénářové rozpětí Q2 2026,Q2 2026,https://www.planstavby.cz/ceniky-remesel
scenario,PlanStavby,Koupelna 6 m² – luxusní,6,6,220000,600000,,ČR,veřejné scénářové rozpětí Q2 2026,Q2 2026,https://www.planstavby.cz/ceniky-remesel
market_band,PlanStavby,Kompletní přehled ČR,,,120000,350000,,ČR,obecný rozsah kompletní rekonstrukce v článku,2026,https://www.planstavby.cz/blog/kolik-stoji-rekonstrukce-koupelny-2026
