type,provider,item,scope,price_min_czk,price_max_czk,unit,includes,excludes,verified_at,source_url,note
market_range,RealFree,Renovace stávající kuchyně,nová dvířka + pracovní deska bez změny dispozice,70000,100000,projekt,"renovace stávající linky","kompletní nová linka; rozsáhlé rozvody",2026-08-19,https://realfree.cz/blog/rekonstrukce-kuchyne-2026,"Veřejná orientace pro ČR; sekundární zdroj."
market_range,RealFree,Kompletní rekonstrukce,nová linka + spotřebiče + podlaha + obklady + elektro + voda,250000,400000,projekt,"kompletní rekonstrukce dle popisu zdroje","individuální nadstandard a atypické práce",2026-08-19,https://realfree.cz/blog/rekonstrukce-kuchyne-2026,"Veřejná orientace pro ČR; sekundární zdroj."
market_range,NejŘemeslníci,Drobná úprava menší kuchyně,drobnější rekonstrukce,70000,100000,projekt,"orientační menší úprava","rozsah závisí na konkrétní zakázce",2026-08-19,https://www.nejremeslnici.cz/blog/kolik-stoji-rekonstrukce-kuchyne/,"Veřejná orientace 2026; sekundární zdroj."
market_range,NejŘemeslníci,Kompletní přestavba,nová linka + podlahy + obklady + spotřebiče,250000,400000,projekt,"kompletní rekonstrukce dle popisu zdroje","individuální atypy",2026-08-19,https://www.nejremeslnici.cz/blog/kolik-stoji-rekonstrukce-kuchyne/,"Veřejná orientace 2026; sekundární zdroj."
market_range,StavDAM,Kosmetická rekonstrukce Praha,nová linka + obklady + podlaha bez změny dispozice,80000,150000,projekt,"rozsah dle popisu zdroje","platí pro Prahu a Středočeský kraj; ověřit zda linka je v konkrétní nabídce",2026-08-19,https://stavdam.cz/blog/rekonstrukce-kuchyne-cena,"Regionální firemní reference; nepoužívá se jako celostátní ceník."
market_range,StavDAM,Střední rekonstrukce Praha,nové rozvody + nová linka + obklady,150000,280000,projekt,"rozsah dle popisu zdroje","platí pro Prahu a Středočeský kraj",2026-08-19,https://stavdam.cz/blog/rekonstrukce-kuchyne-cena,"Regionální firemní reference."
market_range,StavDAM,Kompletní přestavba Praha,změna dispozice + nové rozvody,280000,500000,projekt,"rozsah dle popisu zdroje","platí pro Prahu a Středočeský kraj; luxusní kuchyně může být výše",2026-08-19,https://stavdam.cz/blog/rekonstrukce-kuchyne-cena,"Regionální firemní reference."
product_reference,IKEA,METOD/VEDDINGE 170×60×227,hotová sestava skříněk a pracovní desky,14354,14354,kus,"skříňky; dvířka; zásuvky; pracovní deska; sokl; kování","dřez; sifon; baterie; úchytky; spotřebiče; osvětlení; montáž",2026-08-19,https://www.ikea.com/cz/cs/p/metod-kuchyne-bila-veddinge-bila-s09614919/,"Konkrétní veřejný výrobek; není cenou celé rekonstrukce."
product_reference,IKEA,METOD/VEDDINGE 186×60×227,hotová sestava skříněk a pracovní desky,18845,18845,kus,"skříňky; dvířka; zásuvky; pracovní deska; kování","dřez; sifon; baterie; úchytky; spotřebiče; osvětlení; montáž",2026-08-19,https://www.ikea.com/cz/cs/p/metod-kuchyne-bila-veddinge-bila-s79615760/,"Konkrétní veřejný výrobek."
product_reference,IKEA,METOD/VEDDINGE 210×60×227,hotová sestava skříněk a pracovní desky,17480,17480,kus,"skříňky; dvířka; zásuvky; pracovní deska; kování","dřez; sifon; baterie; úchytky; spotřebiče; osvětlení; montáž",2026-08-19,https://www.ikea.com/cz/cs/p/metod-kuchyne-bila-veddinge-bila-s69614916/,"Konkrétní veřejný výrobek."
