url,performance,accessibility,best_practices,seo,lcp_ms,cls,tbt_ms
cena-za-km-kalkulacka.html,100,100,100,100,1766,0,50
dpp-dpc-kalkulacka.html,79,100,100,100,2018,0.001378195094044945,853
duchodovy-vek-kalkulacka.html,98,100,100,100,1751,0,145
kalkulacka-hrube-mzdy-z-ciste.html,91,100,100,100,1267,0,370
kolik-me-stoji-pleny-kalkulacka.html,98,100,100,100,1770,0,128
kolik-stoji-prvni-rok-ditete-kalkulacka.html,98,100,100,100,1781,0,138
kolik-stoji-umele-mleko-kalkulacka.html,99,100,100,100,1823,0,101
materska-kalkulacka.html,70,100,100,100,1940,0,2390
naklady-zamestnavatele-kalkulacka.html,86,100,100,100,1867,0,532
nemocenska-kalkulacka.html,91,100,100,100,2637,0,146
ocr-kalkulacka.html,98,100,100,100,1866,0,9
podpora-v-nezamestnanosti-kalkulacka.html,99,100,100,100,1805,0,63
pribirani-v-tehotenstvi-kalkulacka.html,87,100,100,100,1790,0,497
rodicovsky-prispevek-kalkulacka.html,90,100,100,100,1841,0,400
vyzivne-kalkulacka.html,94,100,100,100,1804,0,267
