case,hourly_rate,weekly_hours,basis,actual_hours,mode,unpaid_hours,regular_extra_hours,overtime_hours,overtime_premium,average_hourly,monthly_extras,annual_bonus,minimum_regime,expected_monthly,expected_annual,expected_min_hourly
basic_220_40_avg,220,40,average,,basic,0,0,0,25,,0,0,40,38133.333333,457600,134.4
basic_180_37_5_avg,180,37.5,average,,basic,0,0,0,25,,0,0,37.5,29250,351000,143.36
actual_250_168,250,40,actual,168,basic,0,0,0,25,,0,0,40,42000,504000,134.4
advanced_ot_220,220,40,actual,168,advanced,0,0,10,25,260,1500,12000,40,41310,507720,134.4
advanced_unpaid,200,40,actual,168,advanced,8,0,0,25,,0,0,40,32000,384000,134.4
advanced_regular_extra,200,30,actual,120,advanced,0,5,0,25,,1000,0,40,26000,312000,134.4
advanced_ot_default_avg,300,40,average,,advanced,0,0,8,25,,0,0,40,55000,660000,134.4
advanced_annual_bonus,210,38.75,average,,advanced,0,0,0,25,,2000,30000,38.75,37262.5,477150,138.735484
minimum_37_5,134.4,37.5,average,,advanced,0,0,0,25,,0,0,37.5,21840,262080,143.36
minimum_38_75,138.735,38.75,average,,advanced,0,0,0,25,,0,0,38.75,23295.91875,279551.025,138.735484
