scenario,annual_km,consumption_per_100km,energy_price,running_monthly,value_loss_monthly,finance_monthly,energy_annual,full_monthly,full_annual,full_per_km
1,5000,6.2,37.5,1500,1200,0,11625.0,3668.75,44025.0,8.805
2,8000,7.1,39.2,2200,1800,0,22265.6,5855.47,70265.6,8.7832
3,10000,5.4,37.0,2600,2100,0,19980.0,6365.0,76380.0,7.638
4,12000,6.8,38.5,3000,2500,300,31416.0,8418.0,101016.0,8.418
5,15000,6.5,38.5,4200,3200,0,37537.5,10528.12,126337.5,8.4225
6,18000,7.4,40.0,3500,2800,500,53280.0,11240.0,134880.0,7.493333
7,20000,5.8,36.8,3900,3500,0,42688.0,10957.33,131488.0,6.5744
8,25000,5.6,38.2,4400,3800,650,53480.0,13306.67,159680.0,6.3872
9,30000,6.0,37.9,5000,4200,0,68220.0,14885.0,178620.0,5.954
10,40000,5.2,38.0,5600,4500,900,79040.0,17586.67,211040.0,5.276
11,6000,17.0,5.0,1300,4200,0,5100.0,5925.0,71100.0,11.85
12,9000,18.5,6.2,1800,4500,0,10323.0,7160.25,85923.0,9.547
13,12000,19.2,7.0,2300,4700,0,16128.0,8344.0,100128.0,8.344
14,15000,17.8,5.8,2700,5000,300,15486.0,9290.5,111486.0,7.4324
15,20000,20.0,6.5,3200,5200,0,26000.0,10566.67,126800.0,6.34
16,25000,18.0,7.5,3600,5500,450,33750.0,12362.5,148350.0,5.934
17,30000,21.0,8.0,4000,5800,0,50400.0,14000.0,168000.0,5.6
18,7000,0.1,1.0,0,0,0,7.0,0.58,7.0,0.001
19,15000,6.5,38.5,0,0,0,37537.5,3128.12,37537.5,2.5025
20,15000,6.5,38.5,4200,0,0,37537.5,7328.12,87937.5,5.8625
21,15000,6.5,38.5,0,3200,0,37537.5,6328.12,75937.5,5.0625
22,15000,6.5,38.5,0,0,1000,37537.5,4128.12,49537.5,3.3025
23,100000,8.0,45.0,6000,6000,1000,360000.0,43000.0,516000.0,5.16
24,1000,12.0,50.0,8000,8000,1500,6000.0,18000.0,216000.0,216.0
25,50000,25.0,12.0,3000,7000,0,150000.0,22500.0,270000.0,5.4
