expense_rate_pct;annual_revenue_czk;lowest_available_band;flat_regime_annual_czk;standard_tax_czk;standard_social_czk;standard_health_czk;standard_total_czk;difference_standard_minus_flat_czk;cheaper_regime;standard_flat_expenses_czk;standard_tax_profit_czk;assumptions
80;600000;1;109944;0;60056;39664;99720;-10224;standard;480000;120000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
80;1000000;1;109944;0;60056;39664;99720;-10224;standard;800000;200000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
80;1200000;1;109944;5160;60056;39664;104880;-5064;standard;960000;240000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
80;1500000;1;109944;14160;60056;39664;113880;3936;pausalni;1200000;300000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
80;1800000;1;109944;23160;60056;39664;122880;12936;pausalni;1440000;360000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
80;2000000;1;109944;29160;64240;39664;133064;23120;pausalni;1600000;400000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
60;600000;1;109944;5160;60056;39664;104880;-5064;standard;360000;240000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
60;1000000;1;109944;29160;64240;39664;133064;23120;pausalni;600000;400000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
60;1200000;1;109944;41160;77088;39664;157912;47968;pausalni;720000;480000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
60;1500000;1;109944;59160;96360;40500;196020;86076;pausalni;900000;600000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
60;1800000;2;200940;77160;115632;48600;241392;40452;pausalni;1080000;720000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
60;2000000;2;200940;89160;128480;54000;271640;70700;pausalni;1200000;800000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
40;600000;1;109944;23160;60056;39664;122880;12936;pausalni;240000;360000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
40;1000000;1;109944;59160;96360;40500;196020;86076;pausalni;400000;600000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
40;1200000;2;200940;77160;115632;48600;241392;40452;pausalni;480000;720000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
40;1500000;2;200940;104160;144540;60750;309450;108510;pausalni;600000;900000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
40;1800000;3;325668;131160;173448;72900;377508;51840;pausalni;720000;1080000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
40;2000000;3;325668;149160;192720;81000;422880;97212;pausalni;800000;1200000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
30;600000;1;109944;32160;67452;39664;139276;29332;pausalni;180000;420000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
30;1000000;1;109944;74160;112420;47250;233830;123886;pausalni;300000;700000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
30;1200000;2;200940;95160;134904;56700;286764;85824;pausalni;360000;840000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
30;1500000;2;200940;126660;168630;70875;366165;165225;pausalni;450000;1050000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
30;1800000;3;325668;158160;202356;85050;445566;119898;pausalni;540000;1260000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
30;2000000;3;325668;179160;224840;94500;498500;172832;pausalni;600000;1400000;"hlavni OSVC; 12 mesicu; zakladni sleva 30 840; zdravotni minimum; standard pouziva vydajovy pausal dane sazby"
