scenario,pack_price_czk,pack_count,daily_use,days,piece_price_czk,needed_pieces,whole_packs,bought_pieces,purchase_spend_czk,leftover_pieces
1,449,84,7,30,5.3452,210,3,252,1347,42
2,449,84,7,90,5.3452,630,8,672,3592,42
3,449,84,7,365,5.3452,2555,31,2604,13919,49
4,399,72,6,30,5.5417,180,3,216,1197,36
5,399,72,6,31,5.5417,186,3,216,1197,30
6,550,100,5,30,5.5,150,2,200,1100,50
7,550,100,5,90,5.5,450,5,500,2750,50
8,299,50,8,30,5.98,240,5,250,1495,10
9,299,50,8,365,5.98,2920,59,2950,17641,30
10,750,120,4,180,6.25,720,6,720,4500,0
11,100,10,1,10,10.0,10,1,10,100,0
12,100,10,1,11,10.0,11,2,20,200,9
13,100,10,2,5,10.0,10,1,10,100,0
14,100,10,2,6,10.0,12,2,20,200,8
15,100,10,0,30,10.0,0,0,0,0,0
16,0,84,7,30,0.0,210,3,252,0,42
17,449,0,7,30,0,210,0,0,0,0
18,449,84,0,30,5.3452,0,0,0,0,0
19,499,90,7.5,30,5.5444,225,3,270,1497,45
20,499,90,7.5,365,5.5444,2738,31,2790,15469,52
21,280,44,4.5,30,6.3636,135,4,176,1120,41
22,280,44,4.5,180,6.3636,810,19,836,5320,26
23,899,168,6,90,5.3512,540,4,672,3596,132
24,899,168,6,365,5.3512,2190,14,2352,12586,162
25,420,80,6.2,45,5.25,279,4,320,1680,41
