source_name;source_url;reference;parameter;value;unit;context_and_limit;verified_at
EGGER;https://www.egger.com/en/flooring/decors/1799254;NatureSense Aqua+ EL2973;m2_per_package;1.99;m²/balení;Konkrétní produkt 1292 × 193 mm. Hodnota neplatí univerzálně pro jiné formáty.;2026-08-18
EGGER;https://www.egger.com/en/flooring/decors/1784353;NatureSense Aqua Kingsize ELF228;m2_per_package;2.53;m²/balení;Konkrétní produkt 1292 × 327 mm. Stejná značka má jiný nákupní krok podle formátu.;2026-08-18
EGGER;https://www.egger.com/en/flooring/decors/1806763;AquaDura+ Kingsize EDF305;m2_per_package;2.53;m²/balení;Produktová reference AquaDura+ s integrovanou podložkou.;2026-08-18
EGGER;https://www.egger.com/cs/podlaha/sluzby-a-informace/otazky-a-odpovedi;Plovoucí pokládka a podložka;underlay_rule;integrovaná / samostatná;text;Běžná laminátová podlaha vyžaduje vhodnou podložku; AquaDura/AquaDura+ mají podložku integrovanou a další se nepřidává.;2026-08-18
EGGER;https://www.egger.com/cs/podlaha/sluzby-a-informace/otazky-a-odpovedi;Běžný obdélníkový pokoj;average_waste;5;%;Výrobce uvádí 5 % jako průměrný prořez pro běžnou pokládku ve standardních čtvercových/obdélníkových místnostech; není to univerzální konstanta.;2026-08-18
Tarkett;https://home.tarkett.com/en_EU/collection-C001650-starfloor-click-ultimate-30;Starfloor Click Ultimate 30;m2_per_package;1.727;m²/balení;8 lamel 1213 × 178 mm. Kolekce uvádí integrovanou akustickou backing vrstvu.;2026-08-18
Tarkett;https://home.tarkett.com/en_EU/collection-C001339;Starfloor Click Ultimate 55;m2_per_package;1.281;m²/balení;6 lamel 1213 × 176 mm. Platí pro uvedenou kolekci.;2026-08-18
Tarkett;https://home.tarkett.com/en_EU/collection-C000006-classic-40/camino-grey;Classic 40 Vinyl Rolls;available_roll_widths;2|3|4;m;Role jsou dostupné v šířkách 2, 3 a 4 m. U metráže proto rozhoduje orientace pásů, ne jen čistá plocha.;2026-08-18
Quick-Step;https://int.quick-step.com/en/accessories/neudlbas15_basic;Basic underlay NEUDLBAS15;roll_area;15;m²/role;Konkrétní podložka bez integrované parozábrany. Plocha role není univerzální pro jiné podložky.;2026-08-18
Pergo;https://int.pergo.com/en/laminate/how-to-install-laminate-flooring;Laminate installation;last_row_min_width;5;cm;Výrobce doporučuje před pokládkou spočítat počet řad a poslední lamelu alespoň přibližně 5 cm širokou. Není to náhrada montážního plánu.;2026-08-18
