scenario,height_cm,before_kg,current_kg,week,day,babies,bmi,bmi_category,gain_kg,total_min_kg,total_max_kg,week_model_min_kg,week_model_max_kg,weekly_model_enabled,data_type
1,168,65,72,24,0,single,23.03,normal,7,11.3,15.9,4.35,7.5,True,synthetic_regression_not_clinical_benchmark
2,160,45,50,10,0,single,17.578,under,5,12.7,18.1,,,False,synthetic_regression_not_clinical_benchmark
3,170,53.465,58,20,3,single,18.5,normal,4.535,11.3,15.9,3.1,5.714,True,synthetic_regression_not_clinical_benchmark
4,165,68,74,30,0,single,24.977,normal,6,11.3,15.9,6.45,10.5,True,synthetic_regression_not_clinical_benchmark
5,170,86.7,93,32,2,single,30.0,obese,6.3,5.0,9.1,3.779,7.207,True,synthetic_regression_not_clinical_benchmark
6,160,80,85,18,0,single,31.25,obese,5,5.0,9.1,1.35,3.35,True,synthetic_regression_not_clinical_benchmark
7,175,70,78,13,0,single,22.857,normal,8,11.3,15.9,,,False,synthetic_regression_not_clinical_benchmark
8,175,70,78,14,0,single,22.857,normal,8,11.3,15.9,0.85,2.5,True,synthetic_regression_not_clinical_benchmark
9,168,65,64,8,4,single,23.03,normal,-1,11.3,15.9,,,False,synthetic_regression_not_clinical_benchmark
10,168,65,81,39,0,single,23.03,normal,16,11.3,15.9,9.6,15.0,True,synthetic_regression_not_clinical_benchmark
11,168,65,84,41,0,single,23.03,normal,19,11.3,15.9,10.3,16.0,True,synthetic_regression_not_clinical_benchmark
12,158,50,55,26,5,single,20.029,normal,5,11.3,15.9,5.3,8.857,True,synthetic_regression_not_clinical_benchmark
13,180,90,97,28,0,single,27.778,over,7,6.8,11.3,3.95,6.95,True,synthetic_regression_not_clinical_benchmark
14,172,95,101,34,0,single,32.112,obese,6,5.0,9.1,4.07,7.67,True,synthetic_regression_not_clinical_benchmark
15,165,54,65,37,3,single,19.835,normal,11,11.3,15.9,9.05,14.214,True,synthetic_regression_not_clinical_benchmark
16,168,65,72,24,0,twins,23.03,normal,7,16.8,24.5,,,False,synthetic_regression_not_clinical_benchmark
17,160,45,55,20,0,twins,17.578,under,10,22.7,28.1,,,False,synthetic_regression_not_clinical_benchmark
18,170,86.7,100,30,0,twins,30.0,obese,13.3,11.3,19.1,,,False,synthetic_regression_not_clinical_benchmark
19,160,80,94,35,0,twins,31.25,obese,14,11.3,19.1,,,False,synthetic_regression_not_clinical_benchmark
20,175,70,88,36,0,twins,22.857,normal,18,16.8,24.5,,,False,synthetic_regression_not_clinical_benchmark
21,168,65,65,0,0,single,23.03,normal,0,11.3,15.9,,,False,synthetic_regression_not_clinical_benchmark
22,168,65,66,12,6,single,23.03,normal,1,11.3,15.9,,,False,synthetic_regression_not_clinical_benchmark
23,168,65,70,20,0,single,23.03,normal,5,11.3,15.9,2.95,5.5,True,synthetic_regression_not_clinical_benchmark
24,168,65,75,30,0,single,23.03,normal,10,11.3,15.9,6.45,10.5,True,synthetic_regression_not_clinical_benchmark
25,168,65,80,40,0,single,23.03,normal,15,11.3,15.9,9.95,15.5,True,synthetic_regression_not_clinical_benchmark
