scenario_id,family,worked_days,worked_hours,weekly_hours,base_wage,regular_extras,long_term_bonus,long_term_period_months,planned_hours,method,allocated_bonus,qualifying_wage,raw_hourly,monthly_equivalent,note
T01,hranice_21_dnu,19,76.0,20,22800.0,0,0,,,pravdepodobny,0,22800.0,300.0,26088.0,méně než 21 dnů → pravděpodobný výdělek
T02,hranice_21_dnu,20,80.0,20,24000.0,0,0,,,pravdepodobny,0,24000.0,300.0,26088.0,méně než 21 dnů → pravděpodobný výdělek
T03,hranice_21_dnu,21,84.0,20,25200.0,0,0,,,prumerny,0,25200.0,300.0,26088.0,alespoň 21 dnů → průměrný výdělek
T04,hranice_21_dnu,22,88.0,20,26400.0,0,0,,,prumerny,0,26400.0,300.0,26088.0,alespoň 21 dnů → průměrný výdělek
T05,hranice_21_dnu,19,114.0,30,34200.0,0,0,,,pravdepodobny,0,34200.0,300.0,39132.0,méně než 21 dnů → pravděpodobný výdělek
T06,hranice_21_dnu,20,120.0,30,36000.0,0,0,,,pravdepodobny,0,36000.0,300.0,39132.0,méně než 21 dnů → pravděpodobný výdělek
T07,hranice_21_dnu,21,126.0,30,37800.0,0,0,,,prumerny,0,37800.0,300.0,39132.0,alespoň 21 dnů → průměrný výdělek
T08,hranice_21_dnu,22,132.0,30,39600.0,0,0,,,prumerny,0,39600.0,300.0,39132.0,alespoň 21 dnů → průměrný výdělek
T09,hranice_21_dnu,19,152.0,40,45600.0,0,0,,,pravdepodobny,0,45600.0,300.0,52176.0,méně než 21 dnů → pravděpodobný výdělek
T10,hranice_21_dnu,20,160.0,40,48000.0,0,0,,,pravdepodobny,0,48000.0,300.0,52176.0,méně než 21 dnů → pravděpodobný výdělek
T11,hranice_21_dnu,21,168.0,40,50400.0,0,0,,,prumerny,0,50400.0,300.0,52176.0,alespoň 21 dnů → průměrný výdělek
T12,hranice_21_dnu,22,176.0,40,52800.0,0,0,,,prumerny,0,52800.0,300.0,52176.0,alespoň 21 dnů → průměrný výdělek
B01,dlouhodoba_odmena,58,504.0,40,156000.0,0,60000,6,504,prumerny,30000.0,186000.0,369.0476,64184.76,6měsíční odměna: čtvrtletní podíl × 100 % odpracované doby
B02,dlouhodoba_odmena,44,378.0,40,117000.0,0,60000,6,504,prumerny,22500.0,139500.0,369.0476,64184.76,6měsíční odměna: čtvrtletní podíl × 75 % odpracované doby
B03,dlouhodoba_odmena,58,504.0,40,156000.0,0,60000,12,504,prumerny,15000.0,171000.0,339.2857,59008.57,12měsíční odměna: čtvrtletní podíl × 100 % odpracované doby
B04,dlouhodoba_odmena,44,378.0,40,117000.0,0,60000,12,504,prumerny,11250.0,128250.0,339.2857,59008.57,12měsíční odměna: čtvrtletní podíl × 75 % odpracované doby
B05,dlouhodoba_odmena,58,504.0,40,156000.0,0,120000,6,504,prumerny,60000.0,216000.0,428.5714,74537.14,6měsíční odměna: čtvrtletní podíl × 100 % odpracované doby
B06,dlouhodoba_odmena,44,378.0,40,117000.0,0,120000,6,504,prumerny,45000.0,162000.0,428.5714,74537.14,6měsíční odměna: čtvrtletní podíl × 75 % odpracované doby
B07,dlouhodoba_odmena,58,504.0,40,156000.0,0,120000,12,504,prumerny,30000.0,186000.0,369.0476,64184.76,12měsíční odměna: čtvrtletní podíl × 100 % odpracované doby
B08,dlouhodoba_odmena,44,378.0,40,117000.0,0,120000,12,504,prumerny,22500.0,139500.0,369.0476,64184.76,12měsíční odměna: čtvrtletní podíl × 75 % odpracované doby
B09,dlouhodoba_odmena,58,504.0,40,156000.0,0,240000,6,504,prumerny,120000.0,276000.0,547.619,95241.9,6měsíční odměna: čtvrtletní podíl × 100 % odpracované doby
B10,dlouhodoba_odmena,44,378.0,40,117000.0,0,240000,6,504,prumerny,90000.0,207000.0,547.619,95241.9,6měsíční odměna: čtvrtletní podíl × 75 % odpracované doby
B11,dlouhodoba_odmena,58,504.0,40,156000.0,0,240000,12,504,prumerny,60000.0,216000.0,428.5714,74537.14,12měsíční odměna: čtvrtletní podíl × 100 % odpracované doby
B12,dlouhodoba_odmena,44,378.0,40,117000.0,0,240000,12,504,prumerny,45000.0,162000.0,428.5714,74537.14,12měsíční odměna: čtvrtletní podíl × 75 % odpracované doby
