source,source_type,property_type,scope,area_m2,low_czk,high_czk,low_czk_m2,high_czk_m2,region,includes,excludes,source_url,verified_at,note
Síť práce,public guide,byt,kosmetická,60,120000,300000,2000,5000,ČR,"malba; podlahy; osvětlení; drobné opravy",neuvedeno,https://sitprace.cz/pruvodce/rekonstrukce-bytu-cena,2026-08-19,veřejná orientace 2026
Síť práce,public guide,byt,střední,60,360000,720000,6000,12000,ČR,"koupelna; kuchyň; běžné navazující práce",neuvedeno,https://sitprace.cz/pruvodce/rekonstrukce-bytu-cena,2026-08-19,veřejná orientace 2026
Síť práce,public guide,byt,kompletní,60,720000,1500000,12000,25000,ČR,"kompletní rekonstrukce včetně rozvodů",neuvedeno,https://sitprace.cz/pruvodce/rekonstrukce-bytu-cena,2026-08-19,veřejná orientace 2026
RENOVIU,company realization calculator,byt-panel,standardní,32,256000,384000,8000,12000,ČR,"nová kuchyň; koupelna; podlahy; elektroinstalace v místnostech","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-panel,kompletní,32,416000,576000,13000,18000,ČR,"bytové jádro; kompletní rozvody; dispoziční změny; nová okna","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-cihla,kompletní,32,480000,704000,15000,22000,ČR,"kompletní rekonstrukce cihlového bytu","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-panel,standardní,55,440000,660000,8000,12000,ČR,"nová kuchyň; koupelna; podlahy; elektroinstalace v místnostech","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-panel,kompletní,55,715000,990000,13000,18000,ČR,"bytové jádro; kompletní rozvody; dispoziční změny; nová okna","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-cihla,kompletní,55,825000,1210000,15000,22000,ČR,"kompletní rekonstrukce cihlového bytu","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
RENOVIU,company realization calculator,byt-panel,standardní,75,600000,900000,8000,12000,ČR,"nová kuchyň; koupelna; podlahy; elektroinstalace v místnostech","nábytek; spotřebiče; poplatky za povolení",https://www.renoviu.cz/kalkulacka-rekonstrukce-bytu,2026-08-19,data dle realizací RENOVIU 2026
