row_type,manufacturer,product,standard_type,thickness_mm,length_mm,width_mm,sheet_area_m2,system_rule,value,unit,note,source_url,verified_at
product_variant,Rigips,Stavební deska RB (A),A,12.5,2000,1200,2.4,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,2500,1200,3.0,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,2600,1200,3.12,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,2750,1200,3.3,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,3000,1200,3.6,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,15,2000,1200,2.4,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,2000,1250,2.5,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,2500,1250,3.125,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,2600,1250,3.25,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,2750,1250,3.4375,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,3000,1250,3.75,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,15,2000,1250,2.5,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,18,2000,1250,2.5,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Stavební deska RB (A),A,12.5,1000,1250,1.25,,,,Standardní deska bez zvláštních požadavků na požární odolnost či neprůzvučnost.,https://www.rigips.cz/produkty/stavebni-deska-rb-a/,2026-08-18
product_variant,Rigips,Impregnovaná deska RBI (H2),H2,12.5,2000,1200,2.4,,,,Deska se sníženou nasákavostí pro konstrukce v prostředí s vyšší vzdušnou vlhkostí v přerušovaném cyklu.,https://www.rigips.cz/produkty/impregnovana-deska-rbi-h2/,2026-08-18
product_variant,Rigips,Impregnovaná deska RBI (H2),H2,12.5,2500,1200,3.0,,,,Deska se sníženou nasákavostí pro konstrukce v prostředí s vyšší vzdušnou vlhkostí v přerušovaném cyklu.,https://www.rigips.cz/produkty/impregnovana-deska-rbi-h2/,2026-08-18
product_variant,Rigips,Impregnovaná deska RBI (H2),H2,12.5,2600,1200,3.12,,,,Deska se sníženou nasákavostí pro konstrukce v prostředí s vyšší vzdušnou vlhkostí v přerušovaném cyklu.,https://www.rigips.cz/produkty/impregnovana-deska-rbi-h2/,2026-08-18
product_variant,Rigips,Impregnovaná deska RBI (H2),H2,12.5,1000,1250,1.25,,,,Deska se sníženou nasákavostí pro konstrukce v prostředí s vyšší vzdušnou vlhkostí v přerušovaném cyklu.,https://www.rigips.cz/produkty/impregnovana-deska-rbi-h2/,2026-08-18
product_variant,Rigips,Impregnovaná deska RBI (H2),H2,12.5,2000,1250,2.5,,,,Deska se sníženou nasákavostí pro konstrukce v prostředí s vyšší vzdušnou vlhkostí v přerušovaném cyklu.,https://www.rigips.cz/produkty/impregnovana-deska-rbi-h2/,2026-08-18
product_variant,Rigips,Impregnovaná deska RBI (H2),H2,12.5,2500,1250,3.125,,,,Deska se sníženou nasákavostí pro konstrukce v prostředí s vyšší vzdušnou vlhkostí v přerušovaném cyklu.,https://www.rigips.cz/produkty/impregnovana-deska-rbi-h2/,2026-08-18
product_variant,Rigips,Impregnovaná deska RBI (H2),H2,12.5,2600,1250,3.25,,,,Deska se sníženou nasákavostí pro konstrukce v prostředí s vyšší vzdušnou vlhkostí v přerušovaném cyklu.,https://www.rigips.cz/produkty/impregnovana-deska-rbi-h2/,2026-08-18
product_variant,Rigips,Protipožární deska RF (DF),DF,12.5,2000,1250,2.5,,,,Použití v požárně odolných konstrukcích musí vycházet z klasifikované systémové skladby.,https://www.rigips.cz/produkty/protipozarni-deska-rf-df/,2026-08-18
product_variant,Rigips,Protipožární deska RF (DF),DF,12.5,2500,1250,3.125,,,,Použití v požárně odolných konstrukcích musí vycházet z klasifikované systémové skladby.,https://www.rigips.cz/produkty/protipozarni-deska-rf-df/,2026-08-18
product_variant,Rigips,Protipožární deska RF (DF),DF,12.5,2600,1250,3.25,,,,Použití v požárně odolných konstrukcích musí vycházet z klasifikované systémové skladby.,https://www.rigips.cz/produkty/protipozarni-deska-rf-df/,2026-08-18
product_variant,Rigips,Protipožární deska RF (DF),DF,15,2000,1250,2.5,,,,Použití v požárně odolných konstrukcích musí vycházet z klasifikované systémové skladby.,https://www.rigips.cz/produkty/protipozarni-deska-rf-df/,2026-08-18
product_variant,Rigips,Protipožární deska RF (DF),DF,18,2000,1250,2.5,,,,Použití v požárně odolných konstrukcích musí vycházet z klasifikované systémové skladby.,https://www.rigips.cz/produkty/protipozarni-deska-rf-df/,2026-08-18
product_variant,Rigips,Protipožární deska RF (DF),DF,12.5,1000,1250,1.25,,,,Použití v požárně odolných konstrukcích musí vycházet z klasifikované systémové skladby.,https://www.rigips.cz/produkty/protipozarni-deska-rf-df/,2026-08-18
system_rule,Rigips,Příčka / předstěna,,,,,,CW modul podle šířky desky,600 nebo 625,mm,Rozteč R-CW se volí dle šířky desek; CW je přibližně o 10–15 mm kratší než světlá výška.,https://www.rigips.cz/jak-na-to/jak-na-montaz-sadrokartonove-pricky/,2026-08-18
system_rule,Rigips,Přímo montovaný podhled,,,,,,CD / závěsy,CD max 500; závěsy ve směru CD max 1200,mm,"Rigips popisuje síť přímých závěsů 0,5 × 1,2 m; kotvení je systémově závislé.",https://www.rigips.cz/jak-na-to/jak-na-montaz-podhledu-rigips-primo-montovaneho-na-strop/,2026-08-18
system_rule,Rigips,Montážní rozteč vrutů,,,,,,TN do opláštění,příčky/předstěny max 250; podhledy max 170,mm,Maximální vzdálenosti šroubů jsou systémové limity; počet kusů kalkulačka nevydává za univerzální spotřebu na m².,https://www.rigips.cz/clanky/montazni-chyby-pri-suche-vystavbe/,2026-08-18
