source;model;house_type;usable_area_m2;list_price_czk_vat;scope;foundation_included;heat_pump_included;pv_included;vat_percent;valid_from;valid_to;model_source_url;price_list_source_url;price_per_m2_czk
RD_RYMAROV;BUNGALOV 72 S;bungalov;72;4280640;ECONOMY;ano;ano;ano;12;2026-07-01;2026-08-31;https://www.rdrymarov.cz/bungalov-72-s;https://www.rdrymarov.cz/cenik-domu;59453.33
RD_RYMAROV;BUNGALOV 83 S;bungalov;83;4606560;ECONOMY;ano;ano;ano;12;2026-07-01;2026-08-31;https://www.rdrymarov.cz/bungalov-83-s;https://www.rdrymarov.cz/cenik-domu;55500.72
RD_RYMAROV;BUNGALOV 90;bungalov;90;5146400;ECONOMY;ano;ano;ano;12;2026-07-01;2026-08-31;https://www.rdrymarov.cz/bungalov-90-katalog;https://www.rdrymarov.cz/cenik-domu;57182.22
RD_RYMAROV;BUNGALOV 97;bungalov;97;5059040;ECONOMY;ano;ano;ano;12;2026-07-01;2026-08-31;https://www.rdrymarov.cz/bungalov-97;https://www.rdrymarov.cz/cenik-domu;52155.05
RD_RYMAROV;KUBIS 98;patrovy;98;5124000;ECONOMY;ano;ano;ano;12;2026-07-01;2026-08-31;https://www.rdrymarov.cz/kubis-98-katalog;https://www.rdrymarov.cz/cenik-domu;52285.71
RD_RYMAROV;FAMILY 119;patrovy;119.18;5636960;ECONOMY;ano;ano;ano;12;2026-07-01;2026-08-31;https://www.rdrymarov.cz/family-119;https://www.rdrymarov.cz/cenik-domu;47297.87
RD_RYMAROV;KLASIK 125;patrovy;125;5964000;ECONOMY;ano;ano;ano;12;2026-07-01;2026-08-31;https://www.rdrymarov.cz/klasik125-katalog;https://www.rdrymarov.cz/cenik-domu;47712.00
RD_RYMAROV;FAMILY 131;patrovy;131;5891200;ECONOMY;ano;ano;ano;12;2026-07-01;2026-08-31;https://www.rdrymarov.cz/family131;https://www.rdrymarov.cz/cenik-domu;44970.99
CANABA;TERRA +;neuvedeno;88;3249000;vrchni_stavba;ne;neuvedeno;neuvedeno;12;2026-07-01;2026-12-31;https://www.canaba.cz/cenik;https://www.canaba.cz/cenik;36920.45
CANABA;CLASSIC CITY;neuvedeno;154;5749000;vrchni_stavba;ne;neuvedeno;neuvedeno;12;2026-07-01;2026-12-31;https://www.canaba.cz/cenik;https://www.canaba.cz/cenik;37331.17
CANABA;HARMONIE;neuvedeno;181;6699000;vrchni_stavba;ne;neuvedeno;neuvedeno;12;2026-07-01;2026-12-31;https://www.canaba.cz/cenik;https://www.canaba.cz/cenik;37011.05
CANABA;LANDHAUS;neuvedeno;182;7299000;vrchni_stavba;ne;neuvedeno;neuvedeno;12;2026-07-01;2026-12-31;https://www.canaba.cz/cenik;https://www.canaba.cz/cenik;40104.40
