source,reference_type,material_or_vehicle,value_min,value_max,unit,context,url,verified_at
Heidelberg Materials CZ,převod objem-hmotnost,kamenivo 16/32,1.5,1.6,t/m³,"Veřejný přepočet na stránce Balené kamenivo; 1 t odpovídá cca 0,625–0,666 m³.",https://www.heidelbergmaterials.cz/cs/kamenivo/balene-kamenivo,2026-08-18
Heidelberg Materials CZ,balení,Big Bag,1,1,t,"Veřejně uváděná hmotnost jednoho velkoobjemového vaku.",https://www.heidelbergmaterials.cz/cs/kamenivo/balene-kamenivo,2026-08-18
Kamenivo Suchomel,převod objem-hmotnost,směs drceného kameniva 0/32 Z lom Luleč,1.8,1.8,t/m³,"Orientační přepočet konkrétního produktu na veřejné produktové stránce.",https://www.kamenivo-suchomel.cz/produkt/pisky-drte-kameniva/kameniva-drcena/smes-drceneho-kameniva-0-32-z-lom-lulec-14725.htm,2026-08-18
Kamenivo Suchomel,převod objem-hmotnost,směs drceného kameniva 0/63 lom Luleč,1.8,1.8,t/m³,"Orientační přepočet konkrétního produktu na veřejné produktové stránce.",https://www.kamenivo-suchomel.cz/produkt/pisky-drte-kameniva/kameniva-drcena/smes-drceneho-kameniva-0-63-lom-lulec-5589.htm,2026-08-18
Číma odpady Liberec,převod objem-hmotnost,"štěrk, písky a kačírek – obecný firemní převod",1.7,1.7,t/m³,"Veřejný orientační přepočet konkrétního dodavatele; není frakčně specifický.",https://www.cimaliberec.cz/sluzby/sterk-prodej-doprava?codeID=718,2026-08-18
Kamenivo Suchomel,nosnost dopravy,VW se sklápěcím vozíkem,2,2,t,"Veřejně uváděná maximální nosnost v dopravních podmínkách dodavatele.",https://www.kamenivo-suchomel.cz/produkt/pisky-drte-kameniva/kameniva-drcena/smes-drceneho-kameniva-0-63-lom-lulec-5589.htm,2026-08-18
Kamenivo Suchomel,nosnost dopravy,ISUZU třístranný sklápěč,3.7,3.7,t,"Veřejně uváděná maximální nosnost v dopravních podmínkách dodavatele.",https://www.kamenivo-suchomel.cz/produkt/pisky-drte-kameniva/kameniva-drcena/smes-drceneho-kameniva-0-63-lom-lulec-5589.htm,2026-08-18
Kamenivo Suchomel,nosnost dopravy,MERCEDES BENZ 4x4 kontejner,4.5,4.5,t,"Veřejně uváděná maximální nosnost v dopravních podmínkách dodavatele.",https://www.kamenivo-suchomel.cz/produkt/pisky-drte-kameniva/kameniva-drcena/smes-drceneho-kameniva-0-63-lom-lulec-5589.htm,2026-08-18
Kamenivo Suchomel,nosnost dopravy,MAN třístranný sklápěč,10,10,t,"Veřejně uváděná maximální nosnost v dopravních podmínkách dodavatele.",https://www.kamenivo-suchomel.cz/produkt/pisky-drte-kameniva/kameniva-drcena/smes-drceneho-kameniva-0-63-lom-lulec-5589.htm,2026-08-18
Číma odpady Liberec,nosnost dopravy,kontejner s materiálem,8,8,t,"Veřejně uváděné maximum pro přepravu materiálu v kontejneru u konkrétního dodavatele.",https://www.cimaliberec.cz/sluzby/sterk-prodej-doprava?codeID=718,2026-08-18
CEMEX CZ,objednávková jednotka,poptávka kameniva,1,1,t,"Veřejný poptávkový formulář CEMEX požaduje množství kameniva v tunách; hodnota v tomto řádku neznamená minimální odběr.",https://www.cemex.cz/formulare/poptavka/kamenivo,2026-08-18
