scenario,pack_price_czk,pack_weight_g,grams_per_day,days,price_per_100g_czk,needed_grams,whole_packs,bought_grams,purchase_spend_czk,leftover_grams,pack_runway_days
1,419,800,100,30,52.375,3000,4,3200,1676,200,8.0
2,419,800,100,90,52.375,9000,12,9600,5028,600,8.0
3,419,800,100,365,52.375,36500,46,36800,19274,300,8.0
4,499,800,95,30,62.375,2850,4,3200,1996,350,8.4211
5,499,800,95,31,62.375,2945,4,3200,1996,255,8.4211
6,550,1000,110,30,55.0,3300,4,4000,2200,700,9.0909
7,550,1000,110,90,55.0,9900,10,10000,5500,100,9.0909
8,350,600,80,30,58.3333,2400,4,2400,1400,0,7.5
9,350,600,80,365,58.3333,29200,49,29400,17150,200,7.5
10,720,1200,75,180,60.0,13500,12,14400,8640,900,16.0
11,100,100,10,10,100.0,100,1,100,100,0,10.0
12,100,100,10,11,100.0,110,2,200,200,90,10.0
13,100,100,20,5,100.0,100,1,100,100,0,5.0
14,100,100,20,6,100.0,120,2,200,200,80,5.0
15,100,100,0,30,100.0,0,0,0,0,0,0
16,0,800,100,30,0.0,3000,4,3200,0,200,8.0
17,419,0,100,30,0,3000,0,0,0,0,0
18,419,800,0,30,52.375,0,0,0,0,0,0
19,499,900,101.25,30,55.4444,3037.5,4,3600,1996,562.5,8.8889
20,499,900,101.25,365,55.4444,36956.25,42,37800,20958,843.75,8.8889
21,280,400,65.5,30,70.0,1965.0,5,2000,1400,35.0,6.1069
22,280,400,65.5,180,70.0,11790.0,30,12000,8400,210.0,6.1069
23,899,1600,120,90,56.1875,10800,7,11200,6293,400,13.3333
24,899,1600,120,365,56.1875,43800,28,44800,25172,1000,13.3333
25,420,700,93.2,45,60.0,4194.0,6,4200,2520,6.0,7.5107
