scenario_id,country,currency,official_rate_2026,hours_abroad,domestic_meal_allowance_cz,free_meals,time_fraction,allowance_before_meals,allowance_after_meals,scenario_type
DE-00:45,Německo,EUR,50,0.75,ne,0,0,0,0,hranice/krácení
DE-01:00,Německo,EUR,50,1,ne,0,0.333333,16.67,16.67,hranice/krácení
DE-05:00-CZ,Německo,EUR,50,5,ano,0,0,0,0,hranice/krácení
DE-05:15-CZ,Německo,EUR,50,5.25,ano,0,0.333333,16.67,16.67,hranice/krácení
DE-12:00,Německo,EUR,50,12,ne,0,0.333333,16.67,16.67,hranice/krácení
DE-12:15,Německo,EUR,50,12.25,ne,0,0.666667,33.33,33.33,hranice/krácení
DE-18:00,Německo,EUR,50,18,ne,0,0.666667,33.33,33.33,hranice/krácení
DE-18:15,Německo,EUR,50,18.25,ne,0,1,50,50.0,hranice/krácení
DE-12:00-1meal,Německo,EUR,50,12,ne,1,0.333333,16.67,5.0,hranice/krácení
DE-12:00-2meal,Německo,EUR,50,12,ne,2,0.333333,16.67,0,hranice/krácení
DE-13:00-1meal,Německo,EUR,50,13,ne,1,0.666667,33.33,21.67,hranice/krácení
DE-19:00-3meal,Německo,EUR,50,19,ne,3,1,50,12.5,hranice/krácení
FULL-Slovensko,Slovensko,EUR,40,19,ne,0,1,40,40,srovnání plné sazby
FULL-Rakousko,Rakousko,EUR,45,19,ne,0,1,45,45,srovnání plné sazby
FULL-Polsko,Polsko,EUR,50,19,ne,0,1,50,50,srovnání plné sazby
FULL-Francie,Francie,EUR,50,19,ne,0,1,50,50,srovnání plné sazby
FULL-Itálie,Itálie,EUR,55,19,ne,0,1,55,55,srovnání plné sazby
FULL-Velká Británie,Velká Británie,GBP,45,19,ne,0,1,45,45,srovnání plné sazby
FULL-Spojené státy americké,Spojené státy americké,USD,70,19,ne,0,1,70,70,srovnání plné sazby
FULL-Švýcarsko,Švýcarsko,CHF,75,19,ne,0,1,75,75,srovnání plné sazby
FULL-Dánsko,Dánsko,EUR,65,19,ne,0,1,65,65,srovnání plné sazby
FULL-Norsko,Norsko,EUR,65,19,ne,0,1,65,65,srovnání plné sazby
FULL-Švédsko,Švédsko,EUR,65,19,ne,0,1,65,65,srovnání plné sazby
FULL-Jemen,Jemen,EUR,35,19,ne,0,1,35,35,srovnání plné sazby
