country,currency,rate_2026
Afghánistán,EUR,45
Albánie,EUR,40
Alžírsko,EUR,50
Andorra,EUR,50
Angola,EUR,60
Argentina,USD,55
Arménie,EUR,50
Austrálie a Oceánie – ostrovní státy,USD,70
Ázerbájdžán,EUR,40
Bahamy,USD,60
Bahrajn,EUR,45
Bangladéš,USD,50
Belgie,EUR,50
Belize,USD,55
Benin,EUR,45
Bermudy,USD,50
Bělorusko,EUR,45
Bhútán,USD,50
Bolívie,USD,50
Bosna a Hercegovina,EUR,40
Botswana,EUR,50
Brazílie,USD,60
Brunej,USD,40
Bulharsko,EUR,45
Burkina Faso,EUR,40
Burundi,USD,55
Čad,EUR,50
Černá Hora,EUR,45
Čína,EUR,50
Dánsko,EUR,65
Džibutsko,USD,65
Egypt,EUR,50
Ekvádor,USD,50
Eritrea,USD,50
Estonsko,EUR,45
Etiopie,EUR,50
Filipíny,EUR,40
Finsko,EUR,65
Francie,EUR,50
Francouzská zámořská území,EUR,50
Gabon,EUR,50
Gambie,EUR,45
Ghana,EUR,55
Gibraltar,EUR,40
Gruzie,EUR,50
Guatemala,USD,45
Guinea,EUR,50
Guinea-Bissau,EUR,45
Guyana,USD,50
Honduras,USD,45
Hongkong,EUR,50
Chile,USD,55
Chorvatsko,EUR,50
Indie,EUR,45
Indonésie,EUR,40
Irák,EUR,55
Írán,EUR,40
Irsko,EUR,55
Island,EUR,65
Itálie,EUR,55
Izrael,USD,65
Japonsko,USD,65
Jemen,EUR,35
Jihoafrická republika,EUR,50
Jižní Súdán,USD,55
Jordánsko,EUR,50
Kambodža,USD,45
Kamerun,EUR,50
Kanada,USD,50
Kapverdy,EUR,40
Karibik – ostrovní státy,USD,60
Katar,USD,50
Kazachstán,EUR,45
Keňa,USD,55
Kolumbie,USD,45
Komory,USD,55
Konžská republika,USD,60
Konžská demokratická republika,USD,65
Korejská lidově demokratická republika,EUR,45
Korejská republika,EUR,60
Kosovo,EUR,50
Kostarika,USD,50
Kuba,EUR,60
Kuvajt,EUR,45
Kypr,EUR,45
Kyrgyzstán,EUR,40
Laos,USD,45
Lesotho,EUR,45
Libanon,USD,60
Libérie,EUR,50
Libye,EUR,50
Lichtenštejnsko,CHF,75
Litva,EUR,45
Lotyšsko,EUR,45
Lucembursko,EUR,55
Macao,EUR,45
Madagaskar,EUR,45
Maďarsko,EUR,50
Malajsie,USD,45
Malawi,USD,45
Maledivy,USD,60
Mali,EUR,50
Malta,EUR,50
Maroko,EUR,50
Mauretánie,EUR,50
Mauricius,EUR,55
Mexiko,USD,50
Moldavsko,EUR,45
Monako,EUR,45
Mongolsko,EUR,45
Mosambik,EUR,55
Myanmar,USD,55
Namibie,EUR,50
Německo,EUR,50
Nepál,USD,50
Niger,EUR,50
Nigérie,EUR,50
Nikaragua,USD,45
Nizozemsko,EUR,50
Norsko,EUR,65
Nový Zéland,USD,65
Omán,EUR,50
Pákistán,EUR,50
Panama,USD,50
Paraguay,USD,50
Peru,USD,52
Pobřeží Slonoviny,EUR,45
Polsko,EUR,50
Portugalsko,EUR,45
Rakousko,EUR,45
Rovníková Guinea,EUR,50
Rumunsko,EUR,45
Rusko,EUR,45
Rwanda,USD,55
Řecko,EUR,40
Salvador,USD,45
San Marino,EUR,55
Saúdská Arábie,EUR,50
Senegal,EUR,55
Severní Makedonie,EUR,40
Seychely,EUR,55
Sierra Leone,EUR,40
Singapur,USD,65
Spojené arabské emiráty,USD,55
Slovensko,EUR,40
Slovinsko,EUR,40
Somálsko,USD,55
Spojené státy americké,USD,70
Srbsko,EUR,40
Srí Lanka,USD,50
Středoafrická republika,USD,50
Súdán,USD,55
Surinam,USD,50
Svatý Tomáš a Princův ostrov,EUR,40
Svazijsko,EUR,50
Sýrie,EUR,60
Španělsko,EUR,50
Švédsko,EUR,65
Švýcarsko,CHF,75
Tádžikistán,EUR,40
Tanzanie,USD,55
Thajsko,EUR,40
Tchaj-wan,EUR,45
Togo,EUR,45
Tunisko,EUR,50
Turecko,EUR,50
Turkmenistán,EUR,45
Uganda,USD,55
Ukrajina,EUR,45
Uruguay,USD,60
Uzbekistán,EUR,40
Vatikán,EUR,55
Velká Británie,GBP,45
Venezuela,USD,65
Vietnam,EUR,40
Zambie,USD,55
Zimbabwe,USD,50
Ostatní země neuvedené v příloze,EUR,35
