source_name;source_url;scope;area_m2;min_czk_m2;max_czk_m2;vat_note;notes;verified_at
StavímeDesky.cz;https://stavimedesky.cz/zakladova-deska-cena/;kompletní realizace na klíč;100;3500;4000;bez DPH;"Bungalov; písek/štěrkopísek; rovina";2026-08-17
StavímeDesky.cz;https://stavimedesky.cz/zakladova-deska-cena/;kompletní realizace na klíč;100;4200;5000;bez DPH;"Bungalov; jíl/kamenitá půda; mírný svah do 5°";2026-08-17
StavímeDesky.cz;https://stavimedesky.cz/zakladova-deska-cena/;kompletní realizace na klíč;150;3300;3800;bez DPH;"Větší RD; písek/běžná zemina; rovina";2026-08-17
StavímeDesky.cz;https://stavimedesky.cz/zakladova-deska-cena/;kompletní realizace na klíč;150;5500;7000;bez DPH;"Větší RD; skála/těžká těžitelnost; svah nad 10°";2026-08-17
Stavby Krutílek;https://www.stavby-krutilek.cz/zakladove-desky/;jednoduchá základová deska;;2500;;neuvedeno;"Veřejná sazba 'od'; například štěrkové podloží";2026-08-17
Stavby Krutílek;https://www.stavby-krutilek.cz/zakladove-desky/;standardní základová deska se základovými pasy;;3500;;neuvedeno;Veřejná sazba 'od';2026-08-17
Stavby Krutílek;https://www.stavby-krutilek.cz/zakladove-desky/;základová deska se ztraceným bedněním;;4000;;neuvedeno;Veřejná sazba 'od';2026-08-17
Stavby Krutílek;https://www.stavby-krutilek.cz/zakladove-desky/;nízkoenergetický/pasivní dům;;5000;;neuvedeno;Veřejná sazba 'od';2026-08-17
IGIBAU;https://www.zakladovadeska.cz/;základová deska na klíč - obecná reference;;3000;4000;neuvedeno;Zdroj uvádí obecně udávanou cenu na klíč;2026-08-17
DomDaLi;https://prace-stavebni.cz/cenik;práce + materiál;;4200;4200;neuvedeno;Odvozeno součtem veřejně uvedené práce 1700 Kč/m² a materiálu 2500 Kč/m²;2026-08-17
JaNiko Stavby;https://janikostavby.cz/cena-zakladove-desky/;veřejné rozpětí 2026;;3000;7000;neuvedeno;"Zdroj uvádí 3000–7000 Kč/m² a více; horní hranice je otevřená";2026-08-17
Daibau.cz;https://www.daibau.cz/ceny/zaklad_zakladova_deska;dobře izolovaná základová deska pro dům;100;3800;6000;neuvedeno;Odvozeno ze zveřejněného celku 380000–600000 Kč pro 100 m²;2026-08-17
