manufacturer,product,length_mm,width_mm,height_mm,pieces_per_m2,pallet_pieces,fill_l_per_block,fill_m3_per_m2,pour_guidance,source,source_url,technical_source_url,verified_at,note
DITON,Ztracené bednění 15,500,150,250,8,64,8.5,0.068,max. 4 vrstvy / 1 m najednou,"DITON Technický list č. 141, platnost od 1/2026",https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,2026-08-18,"m3/m2 dopočteno z 8 ks/m2 × 8,5 l"
DITON,Ztracené bednění 20,500,200,250,8,60,14.0,0.112,max. 4 vrstvy / 1 m najednou,"DITON Technický list č. 141, platnost od 1/2026",https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,2026-08-18,"m3/m2 dopočteno z 8 ks/m2 × 14,0 l"
DITON,Ztracené bednění 25,500,250,250,8,40-50,19.0,0.152,max. 4 vrstvy / 1 m najednou,"DITON Technický list č. 141, platnost od 1/2026",https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,2026-08-18,paletizace se liší podle výrobního závodu
DITON,Ztracené bednění 30,500,300,250,8,40,25.0,0.200,max. 4 vrstvy / 1 m najednou,"DITON Technický list č. 141, platnost od 1/2026",https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,2026-08-18,"m3/m2 dopočteno z 8 ks/m2 × 25,0 l"
DITON,Ztracené bednění 40,500,400,250,8,30,36.0,0.288,max. 4 vrstvy / 1 m najednou,"DITON Technický list č. 141, platnost od 1/2026",https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,2026-08-18,"m3/m2 dopočteno z 8 ks/m2 × 36,0 l"
DITON,Ztracené bednění 50,300,500,250,13.333,40,25.0,0.333,max. 4 vrstvy / 1 m najednou,"DITON Technický list č. 141, platnost od 1/2026",https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,https://storage.diton.cz/api/storage/public/media-library/files/sk-produktove-technicke-listy-141-tl-tvarnice-ztraceneho-bedneni.pdf?disposition=inline,2026-08-18,kusy/m2 geometrický přepočet z 300×250 mm v ploše
PRESBETON,ZB 20-20,500,200,200,10,,11.8,0.118,doporučeno plnit po 2-3 vrstvách,PRESBETON Technický list + Objem výplňového betonu 2026,https://flexi.presbeton.cz/file/preview/kubatury-zdici-2014?18e98=,https://flexi.presbeton.cz/file/preview/technickylist-a4-zdici-ztracene-bedneni?41a2a=,2026-08-18,"výrobce uvádí 0,118 m3/m2"
PRESBETON,ZB 20-30,500,300,200,10,,20.9,0.209,doporučeno plnit po 2-3 vrstvách,PRESBETON Technický list + Objem výplňového betonu 2026,https://flexi.presbeton.cz/file/preview/kubatury-zdici-2014?18e98=,https://flexi.presbeton.cz/file/preview/technickylist-a4-zdici-ztracene-bedneni?41a2a=,2026-08-18,"výrobce uvádí 0,209 m3/m2"
PRESBETON,ZB 20-40,500,400,200,10,,29.7,0.297,doporučeno plnit po 2-3 vrstvách,PRESBETON Technický list + Objem výplňového betonu 2026,https://flexi.presbeton.cz/file/preview/kubatury-zdici-2014?18e98=,https://flexi.presbeton.cz/file/preview/technickylist-a4-zdici-ztracene-bedneni?41a2a=,2026-08-18,"výrobce uvádí 0,297 m3/m2"
PRESBETON,ZB 25-15,500,150,250,8,,9.5,0.076,doporučeno plnit po 2-3 vrstvách,PRESBETON Technický list + Objem výplňového betonu 2026,https://flexi.presbeton.cz/file/preview/kubatury-zdici-2014?18e98=,https://flexi.presbeton.cz/file/preview/technickylist-a4-zdici-ztracene-bedneni?41a2a=,2026-08-18,"výrobce uvádí 0,076 m3/m2"
